id,OS,CPU,RAM,Graphics,DirectX,Disk Space,Additional,type
1015160,Windows 7/8.1/10 64-bit,Quad core CPU 3.0 GHz,6 GB RAM,GeForce GTX 760-class (2 GB),,100 MB available space,,R
1015480,Windows 7 or newer,Intel Core i5-4590 or AMD FX 8350 (equivalent or better),4 GB RAM,NVIDIA GTX 970 or AMD Radeon R9 290 (equivalent or better),Version 9.0c,1 GB available space,,M
1015480,Windows 7 or newer,Intel Core i7-4590 or AMD FX 8350 (equivalent or better),6 GB RAM,NVIDIA GTX 1070 or AMD Radeon R9 290 (equivalent or better),Version 9.0c,2 GB available space,,R
1015500,64-bit: Windows® 10  (latest updates),Intel Core i5-3550 / AMD FX 8150,4 GB RAM,NVIDIA GeForce GTX 680 / AMD Radeon HD 7850,Version 11,50 GB available space,At least 2GB DDR Video Memory,M
1015500,64-bit: Windows® 10  (latest updates),Intel Core i7 3770 / AMD FX-8350,8 GB RAM,NVIDIA GeForce GTX 970 / AMD Radeon R9 290X,Version 11,50 GB available space,,R
1015610,"64-bit Windows 7, Windows 8.1, Windows 10",Intel Core i5-4590 / AMD FX-8350,8 GB RAM,NVIDIA GeForce GTX 970 / AMD Radeon R9 290,Version 11,3 GB available space,Fixed broadband connection recommended,M
1015610,"64-bit Windows 7, Windows 8.1, Windows 10",Intel Core i7-6700K,16 GB RAM,NVIDIA GeForce GTX 1080,Version 11,3 GB available space,Fixed broadband connection recommended,R
1015770,Windows® 7/8/8.1/10,Intel Core2 Duo or better,4 GB RAM,DirectX 9/OpenGL 4.1 capable GPU,Version 9.0,2 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,M
1015770,Windows® 7/8/8.1/10,2+ GHz Processor,4 GB RAM,"OpenGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50)",Version 9.0,2 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,R
1015790,Windows® 7/8/8.1/10,Intel Core2 Duo or better,4 GB RAM,DirectX 9/OpenGL 4.1 capable GPU,Version 9.0,2 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,M
1015790,Windows® 7/8/8.1/10,2+ GHz Processor,4 GB RAM,"OpenGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50)",Version 9.0,2 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,R
1015800,Windows® 7/8/8.1/10,Intel Core2 Duo or better,4 GB RAM,DirectX 9/OpenGL 4.1 capable GPU,Version 9.0,1 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,M
1015800,Windows® 7/8/8.1/10,2+ GHz Processor,4 GB RAM,"OpenGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50)",Version 9.0,2 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,R
1015880,"64-bit Windows 7, Windows 8, Windows 10",Intel Core i3-2100T @ 2.5GHz or AMD FX-4100 @3.6 GHz,4 GB RAM,"Nvidia Geforce GTX 650, AMD Radeon HD 7770 graphics card or better (min. 2 GB VRAM, DX11 support)",,20 GB available space,INTERNET CONNECTION REQUIRED FOR THE ONLINE GAME,M
1015880,,,,,,,,R
1015890,Windows7/8/10 64bit,3GHz,8 GB RAM,GeForce GTX660,,3 GB available space,,M
1015890,Windows7/8/10 64bit,3.4GHz,16 GB RAM,GeForce GTX970,,3 GB available space,,R
1015940,Windows 7,Intel i5 Quad-Core,4 GB RAM,Intel HD 4000,,2 GB available space,,M
1015940,,,,,,,,R
1016080,Windows® 7 Home Premium 64 bit SP1,Intel® iCore™ i3-550 or AMD® Phenom II X6 1055T,4 GB RAM,Nvidia® GeForce™ GTX 460 or AMD® Radeon™ HD 6970,,,,M
1016080,,,,,,,,R
