id,title,description,date,dev_id,pub_id,metascore,age_rating,agency
1019310,VirtuaVerse,"VirtuaVerse is a challenging old school cyberpunk point & click adventure set in a future not so far away narrating tales of technomancers, AVR graffiti writers, hacker groups, tribes of cryptoshamans, digital archeology, epic cyberwars and virtual reality debauchery.","12 May, 2020",140,141,75,,
1019450,Table Manners: Physics-Based Dating Game,"Swipe right for the brand new NON-VR crazy physics-based dating simulator, Table Manners! Tonight's the night, you've secured a date and you're off to the most glamorous restaurant you know, there's only one problem - you're a disembodied hand with a knack for catastrophe!","14 Feb, 2020",142,143,51,,
1019550,Thief Simulator VR,"Become a thief in VR! Feel the thrill of stealing in free roam sandbox neighborhoods. Use lockpicks and hi-tech hacking tools. Observe your target, gather information and hide from police. Or drive a car like crazy to get out of trouble!","5 Nov, 2020",144,145,N/A,,
1019920,Gensokyo Defenders,"Use Traps and Spell Cards to fight back the magical masses! Blistering shoot-em-up action meets tactical tower defense as you choose from almost 20 popular characters to stop the fairy onslaught! Take advantage of their unique powers and tricky Traps to freeze, fry, and blow your enemies away!","24 Apr, 2019",146,147,N/A,,
1019930,Dark Deception Chapter 3,,"24 Jun, 2019",129,129,N/A,,
1019931,Dark Deception Chapter 4,,"28 Sep, 2021",129,-1,N/A,,
1020030,Quantum Suicide,"Quantum Suicide is a game of betrayal, deception and romance in the cold depths of space.","10 Sep, 2020",148,148,N/A,,
1020100,Liftoff - Night Fever,,"18 Feb, 2019",149,149,N/A,,
1020270,Demon Hunter 5: Ascendance,"You slump into your chair after another day of investigations. Just as you start to lose yourself in the glow of the TV screen, the telephone rings. The museum curator needs your help - a tourist has gone missing. You smirk at his warning of paranormal goings-on; that's what Demon Hunters are for.","4 Apr, 2019",150,151,N/A,,
1020470,Evoland Legendary Edition,"Evoland Legendary Edition brings you two great and unique RPGs, with their graphic style and gameplay changing as you progress through the game!","7 Feb, 2019",152,153,N/A,12,PEGI
1020730,Dark Bestiary,"Dark Bestiary is a turn-based tactic game with RPG elements. The very core of the game consists of continuous and exciting battles with monsters rather than a deep story. So, you will have to explore a rich combat system and discover your character’s possibilities.","12 Jul, 2020",154,154,N/A,16,PEGI
1021110,House Flipper - Luxury DLC,,"14 Oct, 2021",155,60,68,3,PEGI
1021770,Wanba Warriors,"Have you got what it takes to be a Wanba Warrior? Step into the absurd world of calligraphy combat and prepare to lay the smackdown upon all who dare to oppose you, dishing out damage with your chosen ink brush of brutality! highly recommend playing with controllers.","25 Mar, 2020",156,157,N/A,,
1021790,Arma 3 Contact,,"25 Jul, 2019",158,158,N/A,16,PEGI
10220,Postal III,"Good or Insane? The choice is yours. Following the Apocalyptic end to the Postal Dude’s week in Paradise, we follow him and his insane pitbull Champ as they emigrate to its appropriately named sister city, Catharsis.","21 Dec, 2011",159,160,24,,
1022310,Warhammer Underworlds: Online,Lead your fighters to Glory in the ultimate PvP dice-and-cards strategy combat game. Warhammer Underworlds: Online pits mighty warbands against one another in an eternal battle for glory in the realms of the Age of Sigmar.,"21 Apr, 2020",161,161,N/A,,
1022830,Steel Division 2 - Back To War Pack,,"20 Jun, 2019",162,162,N/A,,
1022850,Dark Deception Complete,,"29 Jan, 2019",129,129,N/A,,
1023550,Rogue Star Rescue,Bullet Hell Insanity + Tower Defense Strategy. Rogue Star Rescue is a quirky new type of rogue-like shooter. Blast your way through diverse planets while rescuing your teammates and gathering traps for your defense strategy. Play solo or online to stop the Rogue Star before it annihilates everything!,"4 Feb, 2021",163,163,N/A,,
1023690,Nurse Love Syndrome,"Meet cheerful Kaori Sawai, fresh out of nursing school, as she joins Yurigahama Hospital. Surviving a near death experience as a child left her with a desire to become a nurse and ""healing hands"" that let her relieve pain in patients just by touching them.","18 Apr, 2019",164,165,N/A,,
1024010,Ultimate Fishing Simulator VR,"Bored of waiting for a bite? Would you like to catch some fish? You're lucky - in Ultimate Fishing Simulator, fish bite like crazy! Spinning, float fishing, ground fishing and more! Now you can feel it on your own by playing it on VR!","15 Nov, 2019",166,167,N/A,,
1024380,Second Extinction™,Big map. Big dinosaurs. Big guns. Face an ever changing threat level with your friends. Second Extinction is an online FPS with bite.,"13 Oct, 2020",168,168,N/A,,
1024460,Destructive Physics - Destruction Simulator,"Slowmotion, gravitation control, destructible terrain, blackhole and much more! Destroy a small (huuge) building, using different types of weapons (even custom). When you get tired of exploding prepared structures, you can always visit the map editor to build whatever you want.","20 Aug, 2021",169,169,N/A,,
1024480,Immortal Realms: Vampire Wars,"Immortal Realms: Vampire Wars is an engaging strategy game set in a dark vampire world in turmoil, that combines empire management and turn-based combat with unique card-game elements.","28 Aug, 2020",170,171,70,16,PEGI
1024650,Port Royale 4,"Set sail and join the colonial powers of Spain, England, France and the Netherlands in their fight for supremacy of the Caribbean in the 17th century.","25 Sep, 2020",172,171,68,12,PEGI
1024701,DCS: P-51D Mustang Blue Nosed Bastards of Bodney Campaign,,"19 Feb, 2019",173,174,N/A,,
1024702,DCS: MiG-19P Farmer,,"1 Apr, 2019",175,174,N/A,,
1024703,DCS: Christen Eagle II,,"5 Mar, 2019",176,174,N/A,,
1024704,DCS: Spitfire LF Mk.IX The Big Show Campaign,,"27 Mar, 2019",173,174,N/A,,
1024770,We Happy Few - We All Fall Down,,"19 Nov, 2019",177,178,N/A,18,PEGI
1025140,LAMUNATION! -international-,"Now, this is a story all about how, Luna's life got flipped-turned upside down... Kick back at the Cherry Crown Diner with a cast of quirky heroines in this meme-tastic visual novel that's fizzing with extreme happiness.","22 Nov, 2019",179,180,N/A,,
1025250,Shadow Corridor,"Now on Steam, revamped with brand new content! Immerse yourself in the latest chapter of the popular, Japanese indie horror title, Kageroh: Shadow Corridor. Survive against the onslaught of horrors that lie in wait in eerie, traditional Japanese locales that change with every playthrough.","8 Mar, 2019",181,181,N/A,,
1025410,Metamorphosis,"Play as Gregor, turned into a tiny bug, and set out on an extraordinary journey to unravel the mystery of your transformation. Metamorphosis is a first person adventure set in a surrealist world where your newfound abilities are your last and only hope for redemption.","12 Aug, 2020",182,32,69,,
